data_hora;semana_do_ano;semana_ano;mes;mes_ano;bimestre;bimestre_ano;trimestre;trimestre_ano;ano;latitude;longitude;geometry;tipo_dado;cluster_label
2025-01-10 09:43:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.97814491053676;-44.02471904731963;POINT (-44.02471267 -19.97814927);teste;-2
2025-01-10 09:43:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.895403196947868;-43.95050727582339;POINT (-43.95049941807187 -19.8954098707789);teste;-2
2025-01-10 11:13:35;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.816308123031842;-43.95964758578885;POINT (-43.9596362 -19.8163062);teste;-2
2025-01-10 13:33:01;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.96989975387496;-43.980831042655694;POINT (-43.9808187 -19.9699052);teste;-2
2025-01-10 14:47:37;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.911500525161937;-43.97063801404038;POINT (-43.970638 -19.9114976);teste;-2
2025-01-10 20:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.85273151007348;-43.925361104167024;POINT (-43.92535383 -19.85273822);teste;-2
2025-01-10 20:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.98573796397686;-44.00641701774365;POINT (-44.00642901 -19.98574709);teste;-2
2025-01-10 23:26:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.891269423721333;-43.93644127961592;POINT (-43.93643549 -19.89127841);teste;-2
2025-01-10 23:26:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.824010221556737;-43.97957995744163;POINT (-43.9795809 -19.8240114);teste;-2
2025-01-11 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.93963619968152;-43.96110954643768;POINT (-43.9611069 -19.9396258);teste;-2
2025-01-11 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.913737519130525;-43.93888743857437;POINT (-43.9388734 -19.9137314);teste;-2
2025-01-11 00:00:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.83235294842676;-44.013107705591686;POINT (-44.0131186 -19.8323589);teste;-2
2025-01-11 01:46:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.914021811876943;-43.98898320517915;POINT (-43.98899016 -19.9140463);teste;-2
2025-01-11 01:46:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.940450197207714;-43.919906064779106;POINT (-43.91991417 -19.94044679);teste;-2
2025-01-11 05:02:00;2;2025-S02;1;2025-01;1;2025-B1;1;2025-T1;2025;-19.929731741623215;-43.9987690505334;POINT (-43.998775 -19.9297363);teste;-2
